"filename", "language", "Go", "HTML", "XML", "JavaScript", "CSS", "SCSS", "comment", "blank", "total"
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/5-layout/_footer.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/5-layout/_header.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/5-layout/_index.scss", "SCSS", 0, 0, 0, 0, 0, 6, 0, 1, 7
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/5-layout/_layout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/css/main.min.css", "CSS", 0, 0, 0, 0, 3, 0, 14, 0, 17
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/data/src/assets/scss/main.scss", "SCSS", 0, 0, 0, 0, 0, 741, 39, 58, 838
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/db/db.go", "Go", 36, 0, 0, 0, 0, 0, 42, 14, 92
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/main.go", "Go", 19, 0, 0, 0, 0, 0, 1, 6, 26
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/model/model.go", "Go", 49, 0, 0, 0, 0, 0, 3, 9, 61
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/views/add_article.html", "HTML", 0, 151, 0, 0, 0, 0, 3, 16, 170
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/views/article_manage.html", "HTML", 0, 188, 0, 0, 0, 0, 4, 17, 209
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/views/diary.html", "HTML", 0, 200, 0, 0, 0, 0, 3, 8, 211
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/views/diary_show.html", "HTML", 0, 200, 0, 0, 0, 0, 3, 9, 212
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/views/index.html", "HTML", 0, 270, 0, 0, 0, 0, 3, 12, 285
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/views/login.html", "HTML", 0, 132, 0, 0, 0, 0, 3, 8, 143
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/views/recommend.html", "HTML", 0, 227, 0, 0, 0, 0, 3, 11, 241
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/views/recommend_show.html", "HTML", 0, 222, 0, 0, 0, 0, 6, 10, 238
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/views/register.html", "HTML", 0, 107, 0, 0, 0, 0, 3, 8, 118
"/root/CppServer/GoodAssJob/GoWebServer/WebServer/views/user_info.html", "HTML", 0, 135, 0, 0, 0, 0, 3, 8, 146
"Total", "-", 877, 1832, 421, 37252, 10646, 5707, 11083, 6224, 74042
